iter	Passed	Remaining
958	11487	48403
959	11501	48400
960	11511	48379
961	11522	48367
962	11535	48359
963	11548	48348
964	11558	48330
965	11570	48318
966	11584	48316
967	11598	48310
968	11609	48294
969	11621	48281
970	11634	48275
971	11645	48258
972	11655	48240
973	11668	48231
974	11681	48225
975	11692	48207
976	11703	48190
977	11715	48178
978	11725	48161
979	11737	48145
980	11751	48142
981	11764	48135
982	11776	48124
983	11786	48103
984	11799	48096
985	11811	48084
986	11822	48067
987	11834	48054
988	11846	48044
989	11856	48026
990	11867	48008
991	11879	47995
992	11891	47984
993	11901	47965
994	11913	47952
995	11925	47939
996	11936	47924
997	11948	47913
998	11962	47907
999	11972	47891
1000	11983	47873
1001	11995	47862
1002	12008	47853
1003	12018	47834
1004	12030	47824
1005	12042	47810
1006	12052	47791
1007	12064	47780
1008	12077	47770
1009	12087	47752
1010	12098	47736
1011	12112	47730
1012	12125	47725
1013	12139	47720
1014	12150	47702
1015	12162	47692
1016	12175	47686
1017	12186	47669
1018	12201	47667
1019	12213	47655
1020	12226	47650
1021	12238	47636
1022	12249	47619
1023	12262	47612
1024	12275	47604
1025	12285	47586
1026	12296	47569
1027	12309	47561
1028	12322	47554
1029	12333	47537
1030	12358	47576
1031	12370	47563
1032	12380	47545
1033	12391	47529
1034	12403	47517
1035	12413	47498
1036	12425	47487
1037	12439	47479
1038	12450	47465
1039	12461	47449
1040	12473	47436
1041	12485	47424
1042	12495	47405
1043	12507	47395
1044	12521	47391
1045	12534	47381
1046	12548	47376
1047	12563	47377
1048	12576	47368
1049	12589	47361
1050	12600	47346
1051	12611	47330
1052	12623	47318
1053	12636	47309
1054	12647	47293
1055	12657	47275
1056	12671	47268
1057	12684	47261
1058	12695	47245
1059	12706	47228
1060	12720	47224
1061	12731	47208
1062	12741	47189
1063	12754	47182
1064	12768	47176
1065	12778	47159
1066	12790	47145
1067	12801	47131
1068	12813	47120
1069	12824	47102
1070	12836	47090
1071	12849	47084
1072	12863	47077
1073	12874	47061
1074	12885	47048
1075	12899	47043
1076	12910	47025
1077	12920	47009
1078	12934	47002
1079	12945	46988
1080	12957	46974
1081	12968	46958
1082	12980	46946
1083	12990	46928
1084	13002	46916
1085	13015	46906
1086	13027	46897
1087	13038	46880
1088	13049	46866
1089	13062	46858
1090	13072	46839
1091	13084	46825
1092	13097	46817
1093	13108	46801
1094	13118	46784
1095	13131	46775
1096	13143	46764
1097	13154	46747
1098	13166	46734
1099	13178	46725
1100	13189	46709
1101	13201	46698
1102	13215	46692
1103	13228	46682
1104	13240	46671
1105	13251	46655
1106	13264	46648
1107	13278	46644
1108	13293	46642
1109	13304	46625
1110	13315	46608
1111	13330	46607
1112	13341	46592
1113	13352	46576
1114	13363	46562
1115	13376	46552
1116	13386	46535
1117	13398	46522
1118	13410	46511
1119	13423	46502
1120	13434	46488
1121	13446	46477
1122	13460	46469
1123	13472	46458
1124	13483	46443
1125	13495	46431
1126	13509	46425
1127	13521	46415
1128	13532	46400
1129	13543	46385
1130	13555	46372
1131	13566	46355
1132	13579	46345
1133	13593	46340
1134	13605	46329
1135	13616	46313
1136	13627	46301
1137	13640	46291
1138	13650	46273
1139	13661	46257
1140	13674	46249
1141	13686	46237
1142	13697	46220
1143	13709	46208
1144	13721	46196
1145	13731	46178
1146	13745	46173
1147	13755	46155
1148	13767	46144
1149	13781	46138
1150	13794	46128
1151	13804	46110
1152	13815	46096
1153	13828	46086
1154	13838	46068
1155	13850	46055
1156	13862	46046
1157	13875	46034
1158	13886	46019
1159	13897	46005
1160	13909	45994
1161	13919	45974
1162	13930	45960
1163	13945	45956
1164	13956	45943
1165	13967	45927
1166	13978	45913
1167	13990	45900
1168	14000	45882
1169	14012	45871
1170	14025	45861
1171	14035	45843
1172	14047	45830
1173	14060	45821
1174	14072	45810
1175	14083	45794
1176	14094	45780
1177	14107	45770
1178	14117	45753
1179	14128	45737
1180	14141	45728
1181	14151	45711
1182	14169	45718
1183	14179	45700
1184	14191	45689
1185	14202	45672
1186	14212	45654
1187	14226	45648
1188	14240	45645
1189	14253	45634
1190	14263	45618
1191	14275	45604
1192	14287	45591
1193	14298	45576
1194	14309	45563
1195	14323	45557
1196	14335	45546
1197	14347	45532
1198	14358	45518
1199	14372	45512
1200	14383	45496
1201	14393	45479
1202	14418	45509
1203	14430	45496
1204	14440	45479
1205	14453	45470
1206	14464	45454
1207	14475	45440
1208	14489	45434
1209	14500	45419
1210	14510	45399
1211	14523	45391
1212	14535	45378
1213	14546	45364
1214	14557	45351
1215	14570	45340
1216	14580	45323
1217	14591	45308
1218	14605	45301
1219	14618	45292
1220	14628	45275
1221	14641	45265
1222	14654	45258
1223	14668	45250
1224	14678	45232
1225	14689	45218
1226	14702	45209
1227	14714	45198
1228	14728	45190
1229	14739	45177
1230	14752	45167
1231	14764	45155
1232	14774	45138
1233	14786	45125
1234	14798	45115
1235	14809	45099
1236	14820	45085
1237	14835	45081
1238	14846	45067
1239	14857	45050
1240	14870	45041
1241	14882	45030
1242	14893	45015
1243	14905	45003
1244	14917	44993
1245	14931	44987
1246	14945	44980
1247	14956	44964
1248	14967	44950
1249	14980	44940
1250	14992	44930
1251	15005	44919
1252	15018	44912
1253	15033	44907
1254	15046	44899
1255	15057	44883
1256	15068	44870
1257	15081	44861
1258	15094	44852
1259	15105	44837
1260	15118	44826
1261	15130	44817
1262	15144	44810
1263	15159	44808
1264	15171	44794
1265	15183	44782
1266	15196	44774
1267	15208	44760
1268	15218	44744
1269	15231	44735
1270	15246	44730
1271	15258	44719
1272	15268	44703
1273	15281	44692
1274	15294	44685
1275	15307	44675
1276	15318	44660
1277	15329	44645
1278	15344	44642
